date_heure_debut,total_requested_volume_SA,total_requested_volume_DA,total_activated_volume_SA,total_activated_volume_DA,settlement_price_previous,settlement_price_current,total_volume_submitted_offers,total_volume_filtered_offers
2026-06-02T02:00:00+02:00,,,,,,,,
2026-06-02T02:15:00+02:00,,,,,,,,
2026-06-02T02:30:00+02:00,,,,,,,,
2026-06-02T02:45:00+02:00,,,,,,,,
2026-06-02T03:00:00+02:00,,,,,,,,
2026-06-02T03:15:00+02:00,,,,,,,,
2026-06-02T03:30:00+02:00,,,,,,,,
2026-06-02T03:45:00+02:00,,,,,,,,
2026-06-02T04:00:00+02:00,,,,,,,,
2026-06-02T04:15:00+02:00,,,,,,,,
2026-06-02T04:30:00+02:00,,,,,,,,
2026-06-02T04:45:00+02:00,,,,,,,,
2026-06-02T05:00:00+02:00,,,,,,,,
2026-06-02T05:15:00+02:00,,,,,,,,
2026-06-02T05:30:00+02:00,,,,,,,,
2026-06-02T05:45:00+02:00,,,,,,,,
2026-06-02T06:00:00+02:00,,,,,,,,
2026-06-02T06:15:00+02:00,,,,,,,,
2026-06-02T06:30:00+02:00,,,,,,,,
2026-06-02T06:45:00+02:00,,,,,,,1.0,
2026-06-02T07:00:00+02:00,,,,,,,3.0,
2026-06-02T07:15:00+02:00,,,,,,,,
2026-06-02T07:30:00+02:00,,,,,,,26.0,
2026-06-02T07:45:00+02:00,,,,,,,,
2026-06-02T08:00:00+02:00,,,,,,,59.0,
2026-06-02T08:15:00+02:00,,,,,,,,
2026-06-02T08:30:00+02:00,,,,,,,82.0,
2026-06-02T08:45:00+02:00,,,,,,,,
2026-06-02T09:00:00+02:00,,,,,,,,
2026-06-02T09:15:00+02:00,,,,,,,116.0,
2026-06-02T09:30:00+02:00,,,,,,,130.0,
2026-06-02T09:45:00+02:00,,,,,,,153.0,
2026-06-02T10:00:00+02:00,,,,,,,166.0,
2026-06-02T10:15:00+02:00,,,,,,,180.0,
2026-06-02T10:30:00+02:00,,,,,,,205.0,
2026-06-02T10:45:00+02:00,,,,,,,,
2026-06-02T11:00:00+02:00,,,,,,,,
