date_heure_debut,date_heure_fin,imbalance_mw,system_trend,positive_imbalance_settlement_price,negative_imbalance_settlement_price
2026-06-03T01:45:00+02:00,2026-06-03T02:00:00+02:00,180.78,BAISSE,-157.5,-137.16
2026-06-03T01:30:00+02:00,2026-06-03T01:45:00+02:00,160.07,BAISSE,0.39,0.45
2026-06-03T01:15:00+02:00,2026-06-03T01:30:00+02:00,263.95,BAISSE,-2.77,-2.41
2026-06-03T01:00:00+02:00,2026-06-03T01:15:00+02:00,184.42,BAISSE,-12.91,-11.25
2026-06-03T00:45:00+02:00,2026-06-03T01:00:00+02:00,301.43,BAISSE,-211.2,-183.94
2026-06-03T00:30:00+02:00,2026-06-03T00:45:00+02:00,251.46,BAISSE,-68.92,-60.02
2026-06-03T00:15:00+02:00,2026-06-03T00:30:00+02:00,331.86,BAISSE,-1.15,-1.01
2026-06-03T00:00:00+02:00,2026-06-03T00:15:00+02:00,375.62,BAISSE,-142.21,-123.85
2026-06-02T23:45:00+02:00,2026-06-03T00:00:00+02:00,439.36,BAISSE,-10.72,-9.34
2026-06-02T23:30:00+02:00,2026-06-02T23:45:00+02:00,311.92,BAISSE,13.34,15.32
2026-06-02T23:15:00+02:00,2026-06-02T23:30:00+02:00,386.67,BAISSE,4.53,5.21
2026-06-02T23:00:00+02:00,2026-06-02T23:15:00+02:00,321.97,BAISSE,12.19,13.99
2026-06-02T22:45:00+02:00,2026-06-02T23:00:00+02:00,369.03,BAISSE,9.56,10.98
2026-06-02T22:30:00+02:00,2026-06-02T22:45:00+02:00,265.53,BAISSE,12.86,14.76
2026-06-02T22:15:00+02:00,2026-06-02T22:30:00+02:00,258.05,BAISSE,14.36,16.48
2026-06-02T22:00:00+02:00,2026-06-02T22:15:00+02:00,213.35,BAISSE,13.67,15.69
2026-06-02T21:45:00+02:00,2026-06-02T22:00:00+02:00,300,BAISSE,-29.02,-25.28
2026-06-02T21:30:00+02:00,2026-06-02T21:45:00+02:00,458.52,BAISSE,-79.31,-69.07
2026-06-02T21:15:00+02:00,2026-06-02T21:30:00+02:00,455.62,BAISSE,-79.6,-69.32
2026-06-02T21:00:00+02:00,2026-06-02T21:15:00+02:00,468.59,BAISSE,-76.44,-66.58
2026-06-02T20:45:00+02:00,2026-06-02T21:00:00+02:00,385.87,BAISSE,-263.08,-229.12
2026-06-02T20:30:00+02:00,2026-06-02T20:45:00+02:00,306.44,BAISSE,-376.02,-327.48
2026-06-02T20:15:00+02:00,2026-06-02T20:30:00+02:00,224.64,BAISSE,-374.97,-326.57
2026-06-02T20:00:00+02:00,2026-06-02T20:15:00+02:00,166.57,BAISSE,-248.19,-216.15
2026-06-02T19:45:00+02:00,2026-06-02T20:00:00+02:00,-42.79,HAUSSE,23.17,26.61
